speaker,speaker_name,dialogue_rows,expected_or_observed_gender,male_first_person_forms,female_first_person_forms,status
char_PIEDMON,Пьемон,12,contextual male,1,0,first_person_evidence_only
char_PILEVOLCAMON,ПайлВолкамон,17,contextual male,1,0,first_person_evidence_only
char_PINOCHIMON,Пиноккимон,14,contextual male,2,0,first_person_evidence_only
char_PIYOMON,Пиёмон,50,contextual male,3,0,first_person_evidence_only
char_PLATINUMNUMEMON,ПлатинаНумемон,4,unknown,0,0,no_explicit_first_person_form
char_PLATINUM_SCUMON,ПлатинумСкамон,3,unknown,0,0,no_explicit_first_person_form
char_PLESIOMON,Плезиомон,12,contextual male,1,0,first_person_evidence_only
char_PLOTMON,Плотмон,6,unknown,0,0,no_explicit_first_person_form
char_PLUTOMON,Плутомон,109,male,1,0,curated_source_confirmed
char_POYOMON,Поёмон,6,unknown,0,0,no_explicit_first_person_form
char_PRINCEMAMEMON,ПринцМамемон,14,contextual male,1,0,first_person_evidence_only
char_PUKAMON,Пукамон,12,contextual male,3,0,first_person_evidence_only
char_PUKUMON,Пукумон,5,unknown,0,0,no_explicit_first_person_form
char_PUMPMON,Пампмон,111,contextual male,2,0,first_person_evidence_only
char_PUNIMON,Пунимон,29,contextual male,3,0,first_person_evidence_only
char_PYOCOMON,Пьёкомон,7,unknown,0,0,no_explicit_first_person_form
char_RANAMON,Ранамон,126,female,0,10,curated_source_confirmed
char_RAPIDMON,Рэпидмон,6,unknown,0,0,no_explicit_first_person_form
char_RAPIDMON_ARMOR,Рапидмон (Броня),26,contextual male,1,0,first_person_evidence_only
char_RAPTORDRAMON,Раптордрамон,1,unknown,0,0,no_explicit_first_person_form
char_RAREMON,Рэйрмон,5,unknown,0,0,no_explicit_first_person_form
char_RAVEMON,Равемон,14,male,1,0,curated_source_confirmed
char_RAVEMON_BM,Равемон: Взрывной режим,5,male,0,0,curated_source_confirmed
char_RENAMON,Ренамон,33,contextual male,2,0,first_person_evidence_only
char_REPPAMON,Реппамон,21,unknown,0,0,no_explicit_first_person_form
char_REVOLMON,Револьмон,35,contextual male,1,0,first_person_evidence_only
char_RIZEGREYMON,Райз Греймон,9,contextual male,1,0,first_person_evidence_only
char_ROSEMON,Роузмон,23,female,0,0,curated_source_confirmed
char_ROSEMON_BM,Роузмон: Взрывной режим,5,female,0,0,curated_source_confirmed
char_RUSTTYRANOMON,РастТиранномон,12,unknown,0,0,no_explicit_first_person_form
char_RYUDAMON,Рюдамон,1,unknown,0,0,no_explicit_first_person_form
char_SABERLEOMON,Сэйбер Леомон,5,contextual male,1,0,first_person_evidence_only
