package,file,reviewed_id,runtime_key,role,mode,group_ids,hero_id,heroine_id
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0304_0040_0060,f_d0304_0040_0060,player_address,direct,f_d0304_0040_0060,f_d0304_0040_0060__H,f_d0304_0040_0060__F
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0304_0040_0065,f_d0304_0040_0065,player_address,direct,f_d0304_0040_0065,f_d0304_0040_0065__H,f_d0304_0040_0065__F
patch_text01,message/d03.mbe/000_Sheet1.csv,f_d0305_0050_0010,f_d0305_0050_0010,player_address,direct,f_d0305_0050_0010,f_d0305_0050_0010__H,f_d0305_0050_0010__F
patch_text01,message/d05.mbe/000_Sheet1.csv,f_d0502_0110_0020,f_d0502_0110_0020,player_address,direct,f_d0502_0110_0020,f_d0502_0110_0020__H,f_d0502_0110_0020__F
patch_text01,message/d05.mbe/000_Sheet1.csv,f_d0506_0190_0020,f_d0506_0190_0020,player_address,direct,f_d0506_0190_0020,f_d0506_0190_0020__H,f_d0506_0190_0020__F
patch_text01,message/d06.mbe/000_Sheet1.csv,f_d0604_0180_0020,f_d0604_0180_0020,player_address,direct,f_d0604_0180_0020,f_d0604_0180_0020__H,f_d0604_0180_0020__F
patch_text01,message/d06.mbe/000_Sheet1.csv,f_d0604_0230_0010,f_d0604_0230_0010,player_address,direct,f_d0604_0230_0010,f_d0604_0230_0010__H,f_d0604_0230_0010__F
patch_text01,message/d06.mbe/000_Sheet1.csv,f_d0604_0350_0010,f_d0604_0350_0010,player_address,direct,f_d0604_0350_0010,f_d0604_0350_0010__H,f_d0604_0350_0010__F
patch_text01,message/d07.mbe/000_Sheet1.csv,f_d0701_0010_0400,f_d0701_0010_0400,player_address,direct,f_d0701_0010_0400,f_d0701_0010_0400__H,f_d0701_0010_0400__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0901_0010_0010,f_d0901_0010_0010,player_address,direct,f_d0901_0010_0010,f_d0901_0010_0010__H,f_d0901_0010_0010__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0901_0020_0018,f_d0901_0020_0018,player_address,direct,f_d0901_0020_0018,f_d0901_0020_0018__H,f_d0901_0020_0018__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0901_0100_0020,f_d0901_0100_0020,player_address,direct,f_d0901_0100_0020,f_d0901_0100_0020__H,f_d0901_0100_0020__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0901_0120_0038,f_d0901_0120_0038,player_address,direct,f_d0901_0120_0038,f_d0901_0120_0038__H,f_d0901_0120_0038__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0903_0035_0100,f_d0903_0035_0100,player_address,direct,f_d0903_0035_0100,f_d0903_0035_0100__H,f_d0903_0035_0100__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0904_0240_0020,f_d0904_0240_0020,player_address,direct,f_d0904_0240_0020,f_d0904_0240_0020__H,f_d0904_0240_0020__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0010_0070,f_d0905_0010_0070,player_address,direct,f_d0905_0010_0070,f_d0905_0010_0070__H,f_d0905_0010_0070__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0080_0080,f_d0905_0080_0080,player_address,direct,f_d0905_0080_0080,f_d0905_0080_0080__H,f_d0905_0080_0080__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0905_0090_0040,f_d0905_0090_0040,player_address,direct,f_d0905_0090_0040,f_d0905_0090_0040__H,f_d0905_0090_0040__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0906_0060_0100,f_d0906_0060_0100,player_address,direct,f_d0906_0060_0100,f_d0906_0060_0100__H,f_d0906_0060_0100__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0907_0110_0030,f_d0907_0110_0030,player_address,direct,f_d0907_0110_0030,f_d0907_0110_0030__H,f_d0907_0110_0030__F
patch_text01,message/d09.mbe/000_Sheet1.csv,f_d0907_0110_0060,f_d0907_0110_0060,player_address,direct,f_d0907_0110_0060,f_d0907_0110_0060__H,f_d0907_0110_0060__F
patch_text01,message/d12.mbe/000_Sheet1.csv,f_d1204_0190_0010,f_d1204_0190_0010,player_address,direct,f_d1204_0190_0010,f_d1204_0190_0010__H,f_d1204_0190_0010__F
patch_text01,message/d12.mbe/000_Sheet1.csv,f_d1204_0620_0050,f_d1204_0620_0050,player_address,direct,f_d1204_0620_0050,f_d1204_0620_0050__H,f_d1204_0620_0050__F
patch_text01,message/d13.mbe/000_Sheet1.csv,f_d1301_0320_0010,f_d1301_0320_0010,player_address,direct,f_d1301_0320_0010,f_d1301_0320_0010__H,f_d1301_0320_0010__F
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop165_0030_0010,g_shop165_0030_0010,player_address,direct,g_shop165_0030_0010,g_shop165_0030_0010__H,g_shop165_0030_0010__F
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop310_0010_0020,g_shop310_0010_0020,player_address,direct,g_shop310_0010_0020,g_shop310_0010_0020__H,g_shop310_0010_0020__F
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop310_0010_0030,g_shop310_0010_0030,player_address,direct,g_shop310_0010_0030,g_shop310_0010_0030__H,g_shop310_0010_0030__F
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop311_0010_0020,g_shop311_0010_0020,player_address,direct,g_shop311_0010_0020,g_shop311_0010_0020__H,g_shop311_0010_0020__F
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop311_0010_0030,g_shop311_0010_0030,player_address,direct,g_shop311_0010_0030,g_shop311_0010_0030__H,g_shop311_0010_0030__F
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop312_0010_0020,g_shop312_0010_0020,player_address,direct,g_shop312_0010_0020,g_shop312_0010_0020__H,g_shop312_0010_0020__F
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop312_0010_0030,g_shop312_0010_0030,player_address,direct,g_shop312_0010_0030,g_shop312_0010_0030__H,g_shop312_0010_0030__F
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop313_0010_0020,g_shop313_0010_0020,player_address,direct,g_shop313_0010_0020,g_shop313_0010_0020__H,g_shop313_0010_0020__F
patch_text01,message/field_text.mbe/000_Sheet1.csv,g_shop313_0010_0030,g_shop313_0010_0030,player_address,direct,g_shop313_0010_0030,g_shop313_0010_0030__H,g_shop313_0010_0030__F
patch_text01,message/h03.mbe/000_Sheet1.csv,f_h0310_0020_0060,f_h0310_0020_0060,player_address,direct,f_h0310_0020_0060,f_h0310_0020_0060__H,f_h0310_0020_0060__F
patch_text01,message/m040.mbe/000_Sheet1.csv,m040_060_010,m040_060_010,player_address,direct,m040_060_010,m040_060_010__H,m040_060_010__F
patch_text01,message/m100.mbe/000_Sheet1.csv,m100_060_020,m100_060_020,player_address,direct,m100_060_020,m100_060_020__H,m100_060_020__F
patch_text01,message/m120.mbe/000_Sheet1.csv,m120_060_100,m120_060_100,player_address,direct,m120_060_100,m120_060_100__H,m120_060_100__F
patch_text01,message/m170.mbe/000_Sheet1.csv,m170_210_090,m170_210_090,player_address,direct,m170_210_090,m170_210_090__H,m170_210_090__F
patch_text01,message/m260.mbe/000_Sheet1.csv,m260_080_310,m260_080_310,player_address,direct,m260_080_310,m260_080_310__H,m260_080_310__F
patch_text01,message/m360.mbe/000_Sheet1.csv,m360_070_100,m360_070_100,player_address,direct,m360_070_100,m360_070_100__H,m360_070_100__F
patch_text01,message/rumor_npc.mbe/000_Sheet1.csv,r_d1204_0010_0130,r_d1204_0010_0130,player_address,direct,r_d1204_0010_0130,r_d1204_0010_0130__H,r_d1204_0010_0130__F
patch_text01,message/s010_001.mbe/000_Sheet1.csv,s010_001_430,s010_001_430,player_address,direct,s010_001_430,s010_001_430__H,s010_001_430__F
patch_text01,message/s010_179.mbe/000_Sheet1.csv,s010_179_190,s010_179_190,player_address,direct,s010_179_190,s010_179_190__H,s010_179_190__F
patch_text01,message/s020_018.mbe/000_Sheet1.csv,s020_018_140,s020_018_140,player_address,direct,s020_018_140,s020_018_140__H,s020_018_140__F
patch_text01,message/s020_018.mbe/000_Sheet1.csv,s020_018_530,s020_018_530,player_address,direct,s020_018_530,s020_018_530__H,s020_018_530__F
patch_text01,message/s020_018.mbe/000_Sheet1.csv,s020_018_760,s020_018_760,player_address,direct,s020_018_760,s020_018_760__H,s020_018_760__F
patch_text01,message/s020_019.mbe/000_Sheet1.csv,s020_019_320,s020_019_320,player_address,direct,s020_019_320,s020_019_320__H,s020_019_320__F
patch_text01,message/s020_019.mbe/000_Sheet1.csv,s020_019_440,s020_019_440,player_address,direct,s020_019_440,s020_019_440__H,s020_019_440__F
patch_text01,message/s020_173.mbe/000_Sheet1.csv,s020_173_440,s020_173_440,player_address,direct,s020_173_440,s020_173_440__H,s020_173_440__F
patch_text01,message/s030_029.mbe/000_Sheet1.csv,s030_029_080,s030_029_080,player_address,direct,s030_029_080,s030_029_080__H,s030_029_080__F
